Export Page Cols:,O2,O3,O4,Temp Adj ROI,Temp Adj ROI SD,Temp Adj Max,Temp Adj Max SD,Max eV,Max eV SD,Energy (mJ),Energy (mJ) SD,Energy Adjusted Max,Lineout Integrated,Lineout Integrated SD,,,,,,,,,,,,,,,,,,,,,22.3930474,0.24,192.8794427,0.24,,,,,,,,,0.00655355,,,,,,,,,,,,,NORMALIZED ENERGY,NORMALIZED FLUX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SN,Temp (C),TimeStamp,Mean ROI,Max ROI,Energy,BG Subtracted Value,BG Raw Value,Integrated under Lineout,TL Motor SN,TL Foc,TL Trans,Energy SN,Energy (J),Centroid SRSI,,Dazz SN,Delay,Ordern 2,Order 3,Order 4,,,,,,Temp,Standard Dev (SD),ROI Mean,Standard Dev (SD),ROI Max,Standard Dev (SD),MeV at Max,Standard Dev (SD),BG Side Mean,Standard Dev (SD),BG Side Mean Raw,Standard Dev (SD),Integral Under Lineout,Standard Dev (SD),Standard Dev (SD),Standard Dev (SD),TFoc (mm),Standard Dev (SD),TTrans (mm),Standard Dev (SD),"Energy (mJ, uncal)",Standard Dev (SD),Del,Standard Dev (SD),O2,Standard Dev (SD),O3,Standard Dev (SD),O4,Standard Dev (SD),Reps per setting,Centroid SRSI,Centroid SRSI SD,,
,174695,70,15:00:38,14.44184901,39.11598095,0.629348,15.68401905,186.170419,33262.55413,174695,18.44997668,2.399982509,174695,0.002269141328,803.3928605,,174695,4400,35400,-13000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174694,70,15:00:36,31.94867743,76.89486667,0.98645,15.86513333,186.3515333,73594.65793,174694,18.44997668,2.399982509,174694,0.002467877762,803.4487523,,174694,4400,34700,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174693,70,15:00:33,27.00412416,65.08932381,1.06745,15.55067619,186.0370762,62203.93273,174693,18.44997668,2.399982509,174693,0.002419744834,803.525402,,174693,4400,34700,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174692,70,15:00:31,34.14273651,80.93940317,1.007698,15.78059683,186.2669968,78649.95551,174692,18.44997668,2.399982509,174692,0.002414696166,803.2318553,,174692,4400,34700,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174691,70,15:00:28,31.6185001,68.90462857,0.729082,15.89537143,186.3817714,72833.7296,174691,18.44997668,2.399982509,174691,0.002439722968,803.6053276,,174691,4400,34700,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174690,70,15:00:26,21.67451344,59.51394921,0.929338,15.62605079,186.1124508,49923.41502,174690,18.44997668,2.399982509,174690,0.002565581465,803.6604542,,174690,4400,34700,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174689,70,15:00:23,13.19761845,34.6136254,0.647762,15.7063746,186.1927746,30396.93929,174689,18.44997668,2.399982509,174689,0.006113419626,803.5399288,,174689,4400,34800,19000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174688,70,15:00:21,40.20787173,94.66292381,1.023802,15.77707619,186.2634762,92621.96353,174688,18.44997668,2.399982509,174688,0.00562184295,807.8202576,,174688,4400,34800,19000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174687,70,15:00:18,25.5265499,65.03861587,0.952468,15.68138413,186.1677841,58800.47236,174687,18.44997668,2.399982509,174687,0.005977373881,807.7360073,,174687,4400,34800,19000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174686,70,15:00:16,32.1486183,76.41112698,0.981178,15.78887302,186.275273,74053.61544,174686,18.44997668,2.399982509,174686,0.005858181865,808.0925428,,174686,4400,34800,19000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174685,70,15:00:13,25.72036399,56.30878413,0.702778,15.67121587,186.1576159,59245.23984,174685,18.44997668,2.399982509,174685,0.005678059422,807.5759455,,174685,4400,34800,19000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174684,70,15:00:11,34.13759117,78.34965714,0.957652,15.85034286,186.3367429,78635.4604,174684,18.44997668,2.399982509,174684,0.003415825491,807.7032619,,174684,4400,35400,23000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174683,70,15:00:08,54.96877207,115.6331905,1.06745,15.56680952,186.0532095,126628.1477,174683,18.44997668,2.399982509,174683,0.003468174478,807.665257,,174683,4400,35400,23000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174682,70,15:00:06,39.02459985,93.04665714,0.975922,15.73334286,186.2197429,89895.0414,174682,18.44997668,2.399982509,174682,0.003490871255,807.5573541,,174682,4400,35400,23000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174681,70,15:00:03,42.72757401,97.07080317,1.034618,15.92919683,186.4155968,98425.39971,174681,18.44997668,2.399982509,174681,0.003658418295,807.7082738,,174681,4400,35400,23000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174680,70,15:00:01,67.11338879,143.2400381,0.98645,15.7999619,186.2863619,154607.8677,174680,18.44997668,2.399982509,174680,0.003656229484,798.7633911,,174680,4400,35400,23000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174679,70,14:59:58,3.137874058,14.88180635,0.516658,15.63819365,186.1245937,7223.050022,174679,18.44997668,2.399982509,174679,0.004924260901,798.8021767,,174679,4400,34400,19000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174678,70,14:59:56,5.988123214,22.38690794,0.560818,15.55309206,186.0394921,13789.80898,174678,18.44997668,2.399982509,174678,0.004903511843,798.5861421,,174678,4400,34400,19000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174677,70,14:59:53,2.614465526,13.88579365,0.619258,15.41420635,185.9006063,6017.462778,174677,18.44997668,2.399982509,174677,0.00498745472,798.0632373,,174677,4400,34400,19000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174676,70,14:59:51,5.737054415,22.87032698,0.495442,15.60967302,186.096073,13210.58304,174676,18.44997668,2.399982509,174676,0.004616960478,798.3351747,,174676,4400,34400,19000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174675,70,14:59:48,3.264356647,16.03871429,0.564602,15.42128571,185.9076857,7514.759,174675,18.44997668,2.399982509,174675,0.004414608253,798.7280719,,174675,4400,34400,19000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174674,70,14:59:46,27.62627659,61.80856825,1.018418,15.61143175,186.0978317,63637.49269,174674,18.44997668,2.399982509,174674,0.005392452619,798.705622,,174674,4400,35000,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174673,70,14:59:43,11.84547842,32.87684127,0.729082,15.58315873,186.0695587,27282.08544,174673,18.44997668,2.399982509,174673,0.005539164925,798.6919336,,174673,4400,35000,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174672,70,14:59:41,19.28128824,44.31631429,1.034618,15.50368571,185.9900857,44412.4518,174672,18.44997668,2.399982509,174672,0.005523735848,799.0981028,,174672,4400,35000,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174671,70,14:59:38,16.9754068,44.17590159,0.560818,15.66409841,186.1504984,39099.59136,174671,18.44997668,2.399982509,174671,0.005577044226,799.3176039,,174671,4400,35000,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174670,70,14:59:36,28.45579955,66.01197143,1.06745,15.94802857,186.4344286,65547.6102,174670,18.44997668,2.399982509,174670,0.005549028001,798.8905797,,174670,4400,35000,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174669,70,14:59:33,17.22908358,44.89634921,1.007698,15.56365079,186.0500508,39684.09222,174669,18.44997668,2.399982509,174669,0.004804728943,799.1918872,,174669,4400,34700,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174668,69,14:59:31,20.99336562,50.71915556,0.631378,15.56084444,186.0472444,48356.77524,174668,18.44997668,2.399982509,174668,0.004815546827,799.1270993,,174668,4400,34700,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174667,69,14:59:28,53.17946374,113.2027016,1.092452,15.73729841,186.2236984,122505.3418,174667,18.44997668,2.399982509,174667,0.004550777668,799.2313585,,174667,4400,34700,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174666,69,14:59:26,21.45868254,50.45479365,1.059188,15.58520635,186.0716063,49427.87978,174666,18.44997668,2.399982509,174666,0.004884998198,799.0305204,,174666,4400,34700,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174665,69,14:59:23,20.63093244,50.0143873,0.991738,15.4656127,185.9520127,47522.27396,174665,18.44997668,2.399982509,174665,0.004419076125,799.5801625,,174665,4400,34700,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174664,69,14:59:21,22.14468398,56.04313016,0.975922,15.67686984,186.1632698,51008.44876,174664,18.44997668,2.399982509,174664,0.002293878918,798.8374149,,174664,4400,35000,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174663,69,14:59:18,19.90945,47.24708889,0.491962,15.47291111,185.9593111,45858.82571,174663,18.44997668,2.399982509,174663,0.002307976348,798.7944751,,174663,4400,35000,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174662,69,14:59:16,10.93785322,30.57091746,0.603322,15.60908254,186.0954825,25191.08291,174662,18.44997668,2.399982509,174662,0.002327362472,799.0496664,,174662,4400,35000,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174661,69,14:59:13,31.15321622,78.34841587,1.034618,15.33158413,185.8179841,71762.11176,174661,18.44997668,2.399982509,174661,0.002402603338,799.1951347,,174661,4400,35000,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174660,69,14:59:11,32.3459558,76.25697143,1.034618,15.60302857,186.0894286,74509.0952,174660,18.44997668,2.399982509,174660,0.002352376608,798.8625087,,174660,4400,35000,-21000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174659,69,14:59:08,49.75381042,108.7731333,1.007698,15.34686667,185.8332667,114611.3961,174659,18.44997668,2.399982509,174659,0.002825014113,799.5310229,,174659,4400,35000,3000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174658,69,14:59:06,27.49459405,62.67744127,0.607282,15.28255873,185.7689587,63333.55724,174658,18.44997668,2.399982509,174658,0.002822938161,799.6128619,,174658,4400,35000,3000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174657,69,14:59:03,63.54349926,131.554619,1.050962,15.54538095,186.031781,146379.0777,174657,18.44997668,2.399982509,174657,0.002924414287,799.5315068,,174657,4400,35000,3000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174656,69,14:59:01,34.41245813,76.10540952,0.929338,15.45459048,185.9409905,79269.35813,174656,18.44997668,2.399982509,174656,0.002915946669,800.2866986,,174656,4400,35000,3000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174655,69,14:58:58,26.5659122,63.78249206,1.002362,15.57750794,186.0639079,61192.19922,174655,18.44997668,2.399982509,174655,0.002975364717,800.0266236,,174655,4400,35000,3000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174654,69,14:58:56,22.14356166,53.49199048,0.825682,15.56800952,186.0544095,51005.15407,174654,18.44997668,2.399982509,174654,0.003946590157,800.5809138,,174654,4400,34600,-9000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174653,69,14:58:53,38.66671811,87.9050254,1.007698,15.4949746,185.9813746,89071.15349,174653,18.44997668,2.399982509,174653,0.003917045625,800.2938965,,174653,4400,34600,-9000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174652,69,14:58:51,21.99343507,54.46582222,0.939578,15.49417778,185.9805778,50660.39858,174652,18.44997668,2.399982509,174652,0.003922434682,800.7137642,,174652,4400,34600,-9000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174651,69,14:58:48,15.46646141,40.8363746,0.955058,15.3636254,185.8500254,35623.95071,174651,18.44997668,2.399982509,174651,0.003895505932,800.5763446,,174651,4400,34600,-9000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174650,69,14:58:46,10.96463254,31.2864381,0.704948,15.3735619,185.8599619,25253.60693,174650,18.44997668,2.399982509,174650,0.003895506965,800.5055838,,174650,4400,34600,-9000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174649,69,14:58:43,6.517267063,23.2762254,0.689842,15.2237746,185.7101746,15007.86709,174649,18.44997668,2.399982509,174649,0.004531578281,800.8035779,,174649,4400,34400,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174648,69,14:58:41,26.03562173,61.79247937,1.114948,15.32752063,185.8139206,59973.71998,174648,18.44997668,2.399982509,174648,0.004201743674,804.0200648,,174648,4400,34400,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174647,69,14:58:38,16.04932029,42.28689841,0.65605,15.23310159,185.7195016,36967.35704,174647,18.44997668,2.399982509,174647,0.00442477291,803.5200865,,174647,4400,34400,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174646,69,14:58:36,11.44586761,33.26394921,0.718052,15.39605079,185.8824508,26361.52502,174646,18.44997668,2.399982509,174646,0.004202636362,803.4083405,,174646,4400,34400,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174645,69,14:58:33,6.075696577,20.50384762,0.629348,15.35615238,185.8425524,13990.57107,174645,18.44997668,2.399982509,174645,0.004351432786,803.9877463,,174645,4400,34400,-1000,-4450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174644,69,14:58:31,28.57033626,68.89265397,0.955058,15.32734603,185.813746,65811.00209,174644,18.44997668,2.399982509,174644,0.002033597172,803.1113544,,174644,4400,35100,-21000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174643,69,14:58:28,39.15295332,91.04492381,0.929338,15.33507619,185.8214762,90191.17953,174643,18.44997668,2.399982509,174643,0.001890570202,802.8566392,,174643,4400,35100,-21000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174642,69,14:58:26,27.53159097,65.12195556,1.007698,15.33804444,185.8244444,63418.71364,174642,18.44997668,2.399982509,174642,0.001950945076,802.5262193,,174642,4400,35100,-21000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174641,69,14:58:23,19.83590779,54.58296508,0.98645,15.29703492,185.7834349,45689.94858,174641,18.44997668,2.399982509,174641,0.00192999279,802.8123397,,174641,4400,35100,-21000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174640,69,14:58:21,9.119559623,27.74277143,0.495442,15.33722857,185.8236286,21003.3526,174640,18.44997668,2.399982509,174640,0.001916294548,805.5843365,,174640,4400,35100,-21000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174639,69,14:58:18,4.018901885,17.82367619,0.627322,15.17632381,185.6627238,9252.736267,174639,18.44997668,2.399982509,174639,0.004440363844,805.8279609,,174639,4400,34400,11000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174638,69,14:58:16,11.21862564,31.19964127,0.52025,15.06035873,185.5467587,25838.18384,174638,18.44997668,2.399982509,174638,0.004801469677,805.88683,,174638,4400,34400,11000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174637,69,14:58:13,5.699387401,21.75412698,0.611258,15.34587302,185.832273,13124.21444,174637,18.44997668,2.399982509,174637,0.005053023766,805.9158708,,174637,4400,34400,11000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174636,69,14:58:11,4.962967956,21.71041587,0.623282,15.28958413,185.7759841,11427.75776,174636,18.44997668,2.399982509,174636,0.005073728607,806.1434186,,174636,4400,34400,11000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174635,69,14:58:08,14.11061032,39.16074921,0.85945,15.25925079,185.7456508,32498.58542,174635,18.44997668,2.399982509,174635,0.004950512692,806.5312988,,174635,4400,34400,11000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174634,69,14:58:06,28.45394886,60.94041587,0.755962,15.17958413,185.6659841,65543.19776,174634,18.44997668,2.399982509,174634,0.002105404073,806.5103869,,174634,4400,35100,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174633,69,14:58:03,13.67049454,36.41231746,0.611258,15.22768254,185.7140825,31486.51711,174633,18.44997668,2.399982509,174633,0.002066975008,806.5997379,,174633,4400,35100,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174632,69,14:58:01,20.78788596,51.38834603,1.007698,15.05165397,185.538054,47883.21091,174632,18.44997668,2.399982509,174632,0.002077019827,798.0803406,,174632,4400,35100,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174631,69,14:57:58,31.21566721,70.87145714,1.034618,15.14854286,185.6349429,71906.7958,174631,18.44997668,2.399982509,174631,0.002102935434,798.651285,,174631,4400,35100,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174630,69,14:57:56,25.02187475,59.85287302,0.975922,15.20712698,185.693527,57635.28656,174630,18.44997668,2.399982509,174630,0.002025145413,798.1924208,,174630,4400,35100,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174629,69,14:57:53,19.30483755,46.44460317,0.72025,14.93539683,185.4217968,44465.69111,174629,18.44997668,2.399982509,174629,0.005799787173,798.7770258,,174629,4400,35000,23000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174628,69,14:57:51,8.062243899,25.03034286,0.67705,15.28965714,185.7760571,18566.9396,174628,18.44997668,2.399982509,174628,0.005554697548,798.3256428,,174628,4400,35000,23000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174627,69,14:57:48,25.69209122,61.92874921,1.050962,15.09125079,185.5776508,59181.71942,174627,18.44997668,2.399982509,174627,0.005441528011,798.7799179,,174627,4400,35000,23000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174626,69,14:57:46,24.77482713,64.56693651,0.981178,15.09306349,185.5794635,57067.32478,174626,18.44997668,2.399982509,174626,0.005588513333,798.4078355,,174626,4400,35000,23000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174625,69,14:57:43,25.9751997,63.45264762,0.899002,15.10735238,185.5937524,59833.25747,174625,18.44997668,2.399982509,174625,0.005586870846,798.2586584,,174625,4400,35000,23000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174624,69,14:57:41,37.49407629,89.8110381,0.93445,15.0489619,185.5353619,86368.16073,174624,18.44997668,2.399982509,174624,0.002151970327,799.1853792,,174624,4400,35200,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174623,69,14:57:38,27.44948715,65.84626667,1.007698,15.11373333,185.6001333,63228.51213,174623,18.44997668,2.399982509,174623,0.002061457497,799.4126349,,174623,4400,35200,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174622,69,14:57:36,36.57818596,81.30447937,1.034618,15.03552063,185.5219206,84260.19598,174622,18.44997668,2.399982509,174622,0.002308668013,798.8926143,,174622,4400,35200,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174621,69,14:57:33,25.12185883,62.23520952,1.129138,14.98479048,185.4711905,57865.79753,174621,18.44997668,2.399982509,174621,0.002189526644,798.7172572,,174621,4400,35200,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174620,69,14:57:31,31.02559886,74.15192698,1.034618,15.10807302,185.594473,71468.03784,174620,18.44997668,2.399982509,174620,0.00216791673,798.8924768,,174620,4400,35200,-13000,-4150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174619,69,14:57:28,39.70870025,91.88499365,1.106482,15.05500635,185.5414063,91471.36038,174619,18.44997668,2.399982509,174619,0.005564328169,799.0865383,,174619,4400,35200,23000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174618,69,14:57:26,45.26760843,90.74547302,1.084082,15.19452698,185.680927,104276.4444,174618,18.44997668,2.399982509,174618,0.005726046753,798.8501225,,174618,4400,35200,23000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174617,69,14:57:23,30.63089241,72.81275873,0.965458,14.94724127,185.4336413,70557.76336,174617,18.44997668,2.399982509,174617,0.005781449355,799.2955559,,174617,4400,35200,23000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174616,69,14:57:21,20.29299519,45.00784762,0.997042,15.11215238,185.5985524,46743.16307,174616,18.44997668,2.399982509,174616,0.005666430496,799.1142768,,174616,4400,35200,23000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174615,69,14:57:18,48.05148343,100.1008063,0.981178,15.03919365,185.5255937,110690.847,174615,18.44997668,2.399982509,174615,0.005648757453,798.4576899,,174615,4400,35200,23000,-4750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174614,69,14:57:16,34.07692932,75.03803175,1.045498,14.98196825,185.4683683,78496.99711,174614,18.44997668,2.399982509,174614,0.005200691191,798.9336483,,174614,4400,35100,19000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174613,69,14:57:13,24.85611949,56.60800317,1.007698,15.05199683,185.5383968,57255.28131,174613,18.44997668,2.399982509,174613,0.00564272911,799.1761608,,174613,4400,35100,19000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174612,69,14:57:11,37.67885923,82.23005714,0.970682,14.92994286,185.4163429,86795.2916,174612,18.44997668,2.399982509,174612,0.005731088686,798.7853311,,174612,4400,35100,19000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174611,69,14:57:08,18.26586567,44.95791429,0.955058,15.06208571,185.5484857,42073.2266,174611,18.44997668,2.399982509,174611,0.005768281008,798.6257879,,174611,4400,35100,19000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174610,69,14:57:06,45.44559127,100.8740635,0.965458,15.04593651,185.5323365,104687.9282,174610,18.44997668,2.399982509,174610,0.00555356552,799.1011734,,174610,4400,35100,19000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174609,69,14:57:03,7.460168254,24.97572381,0.591538,15.00427619,185.4906762,17180.07193,174609,18.44997668,2.399982509,174609,0.005267788308,798.697306,,174609,4400,34800,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174608,69,14:57:01,11.56434107,32.08180635,0.67705,14.85819365,185.3445937,26634.59002,174608,18.44997668,2.399982509,174608,0.005361456671,800.885122,,174608,4400,34800,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174607,69,14:56:58,14.1488567,41.79391746,0.899002,14.80608254,185.2924825,32588.32191,174607,18.44997668,2.399982509,174607,0.005139376495,801.4220816,,174607,4400,34800,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174606,69,14:56:56,5.652845188,22.10811429,0.48505,14.89188571,185.3782857,13016.5372,174606,18.44997668,2.399982509,174606,0.0053315459,801.0845672,,174606,4400,34800,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174605,69,14:56:53,11.52361915,32.76669206,0.997042,14.93330794,185.4197079,26541.64182,174605,18.44997668,2.399982509,174605,0.00508230981,800.8662221,,174605,4400,34800,15000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174604,69,14:56:51,35.54480268,86.88888254,0.997042,14.87111746,185.3575175,81877.92649,174604,18.44997668,2.399982509,174604,0.003486065041,801.1191397,,174604,4400,35400,-1000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174603,69,14:56:48,20.91195501,51.2583873,0.840058,14.7616127,185.2480127,48168.77596,174603,18.44997668,2.399982509,174603,0.003400484315,801.2196334,,174603,4400,35400,-1000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174602,69,14:56:46,33.83659043,77.56005397,0.840058,15.03994603,185.526346,77942.91429,174602,18.44997668,2.399982509,174602,0.003582130226,801.2040155,,174602,4400,35400,-1000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174601,69,14:56:43,37.65370645,82.61316825,0.991738,14.92683175,185.4132317,86735.70649,174601,18.44997668,2.399982509,174601,0.003462892229,800.9859409,,174601,4400,35400,-1000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174600,69,14:56:41,33.55130446,81.32208571,1.034618,14.89791429,185.3843143,77285.4834,174600,18.44997668,2.399982509,174600,0.003404969578,803.7454622,,174600,4400,35400,-1000,-5050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174599,69,14:56:38,15.74699648,40.8295746,0.61525,14.9104254,185.3968254,36270.19031,174599,18.44997668,2.399982509,174599,0.005193397443,803.5903199,,174599,4400,35200,11000,-5350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
